timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,s_accel_z,s_gyro_z,s_mag_x,s_mag_y
4.74187E+12,0.46620178,2.645523,11.492508,0.30158997,0.3718109,0.14552307,-0.73547363,-20.103455,-46.551514,12.1385682,0.14005432,-0.585327152,-19.6520996
4.74187E+12,0.4416046,2.6181793,11.300247,0.25480652,0.43865967,0.14666748,-0.73547363,-20.103455,-46.551514,11.820343,0.14321289,-0.635375978,-19.8025514
4.74188E+12,0.43655396,2.6267853,11.115875,0.19725037,0.5002594,0.15208435,-0.73547363,-20.103455,-46.551514,11.5302246,0.146246338,-0.685424804,-19.9530032
4.74188E+12,0.45710754,2.6356506,11.086746,0.14035034,0.5388794,0.15707397,1.1550903,-20.812988,-44.934082,11.3366058,0.149328612,-0.357360844,-20.2453616
4.74189E+12,0.5341644,2.648819,11.098923,0.08996582,0.5474701,0.15802002,1.1550903,-20.812988,-44.934082,11.2188598,0.151873778,0.020751942,-20.3872682
4.74189E+12,0.59999084,2.7133331,10.985168,0.04864502,0.526886,0.152771,1.1550903,-20.812988,-44.934082,11.1173918,0.153323364,0.398864728,-20.5291748
4.7419E+12,0.60954285,2.7213593,10.95726,0.019302368,0.47833252,0.13996887,1.1550903,-20.812988,-44.934082,11.0487944,0.151983642,0.776977514,-20.6710814
4.7419E+12,0.4473877,2.6143951,11.032776,-0.003860474,0.41072083,0.12142944,1.2924194,-19.937134,-45.140076,11.0321746,0.14585266,1.18255612,-20.6378172
4.74191E+12,0.2447052,2.4371338,11.205826,-0.032730103,0.32440186,0.09411621,1.2924194,-19.937134,-45.140076,11.0559906,0.133261108,1.21002194,-20.4626464
4.74191E+12,0.027938843,2.191269,11.612579,-0.06724548,0.23747253,0.06265259,1.2924194,-19.937134,-45.140076,11.1587218,0.114187622,1.23748776,-20.2874756
4.74192E+12,-0.23223877,1.9467316,12.039658,-0.10702515,0.15740967,0.037017822,1.2924194,-19.937134,-45.140076,11.3696198,0.091036986,1.26495358,-20.1123048
4.74192E+12,-0.29808044,1.7088165,12.450226,-0.1454773,0.09072876,0.023010254,0.98114014,-19.41681,-45.54596,11.668213,0.067645263,1.230163548,-19.8330692
4.74193E+12,-0.33259583,1.533081,12.84787,-0.18252563,0.043029785,0.018234253,0.98114014,-19.41681,-45.54596,12.0312318,0.047006226,1.167907696,-19.7290044
4.74193E+12,-0.3272705,1.3350525,13.252747,-0.21704102,0.016082764,0.023010254,0.98114014,-19.41681,-45.54596,12.440616,0.032785035,1.105651844,-19.6249396
4.74194E+12,-0.24501038,1.1428528,13.631226,-0.2534485,-0.002243042,0.031051636,2.2750854,-19.676208,-45.54596,12.8443454,0.026464844,1.302185044,-19.5727544
4.74194E+12,-0.30943298,1.0281982,14.020859,-0.28396606,-0.007232666,0.042037964,2.2750854,-19.676208,-45.54596,13.2405856,0.027468872,1.498718244,-19.5205692
4.74195E+12,-0.35824585,0.8939514,14.443893,-0.31100464,7.93E-04,0.053833008,2.2750854,-19.676208,-45.54596,13.639319,0.033633423,1.757507296,-19.5724488
4.74195E+12,-0.42829895,0.69473267,14.896637,-0.33421326,0.016281128,0.06283569,2.2750854,-19.676208,-45.54596,14.0490724,0.04255371,2.016296348,-19.6243284
4.74196E+12,-0.43470764,0.6879883,15.246872,-0.3453064,0.03387451,0.07521057,1.260376,-19.108582,-44.908142,14.4478974,0.052993774,2.07214352,-19.5626828
4.74196E+12,-0.5871124,0.5356903,15.4205475,-0.33738708,0.05393982,0.091430664,1.260376,-19.108582,-44.908142,14.8057617,0.065069579,1.86920164,-19.4491576
4.74197E+12,-0.75361633,0.4293213,15.358765,-0.30859375,0.09347534,0.10850525,1.260376,-19.108582,-44.908142,15.0733429,0.078363036,1.66625976,-19.3356324
4.74197E+12,-0.92788696,0.33953857,15.124893,-0.2651825,0.14112854,0.1320343,1.260376,-19.108582,-44.908142,15.2095429,0.094003295,1.46331788,-19.2221072
4.74198E+12,-1.0445251,0.29328918,14.481812,-0.21368408,0.19569397,0.16352844,0.8087158,-18.902588,-44.708252,15.1265779,0.114141845,1.17004396,-19.0673832
4.74198E+12,-1.0895996,0.3400879,13.694931,-0.15641785,0.2553711,0.20162964,0.8087158,-18.902588,-44.708252,14.8161897,0.139425659,1.07971192,-19.0261844
4.74199E+12,-1.0610352,0.41670227,12.842865,-0.10444641,0.310318,0.24684143,0.8087158,-18.902588,-44.708252,14.3006532,0.170507812,0.98937988,-18.9849856
4.74199E+12,-1.0187683,0.5123596,11.972931,-0.061264038,0.35317993,0.29162598,0.8087158,-18.902588,-44.708252,13.6234864,0.207131958,0.89904784,-18.9437868
4.742E+12,-0.8938904,0.64790344,11.226517,-0.023605347,0.37690735,0.34176636,0.5264282,-18.339539,-44.981384,12.8438112,0.24907837,0.75225828,-18.7899782
4.742E+12,-0.8045044,0.82128906,10.572769,0.002761841,0.37664795,0.3879547,0.5264282,-18.339539,-44.981384,12.0620026,0.293963622,0.69580076,-18.6773684
4.74201E+12,-0.6883087,0.9997864,9.94136,0.025726318,0.34924316,0.42666626,0.5264282,-18.339539,-44.981384,11.3112884,0.338970946,0.63934324,-18.5647586
4.74201E+12,-0.60446167,1.1493683,9.417358,0.044662476,0.29937744,0.45689392,0.5264282,-18.339539,-44.981384,10.626187,0.380981444,0.58288572,-18.4521488
4.74202E+12,-0.4365387,1.2389679,9.029419,0.05810547,0.23851013,0.4788208,1.5960693,-19.065857,-45.869446,10.0374846,0.418420408,0.74035642,-18.4848026
4.74202E+12,-0.2521515,1.3993225,8.61795,0.06523132,0.17376709,0.49440002,1.5960693,-19.065857,-45.869446,9.5157712,0.44894714,0.95428464,-18.6300662
4.74203E+12,-0.06135559,1.60112,8.253494,0.060546875,0.10713196,0.5051575,1.5960693,-19.065857,-45.869446,9.0519162,0.4723877,1.16821286,-18.7753298
