timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,s_accel_x,s_accel_y,s_accel_z,s_gyro_x,s_gyro_y,s_gyro_z,s_mag_x,s_mag_y,s_mag_z
8.05838E+12,-1.3140411,-0.6956177,15.980835,-0.18249512,-0.11857605,0.10961914,18.4021,-15.98053,-48.632813,-1.34622802,-0.490402228,15.7180084,-0.27001648,-0.090093995,0.03331604,18.2382202,-16.637878,-48.3123782
8.05838E+12,-1.2214355,-0.7621002,15.821503,-0.12782288,-0.104385376,0.1542511,18.4021,-15.98053,-48.632813,-1.3391815,-0.600045778,15.7830018,-0.227990724,-0.103607178,0.070397949,18.2928468,-16.418762,-48.4191898
8.05839E+12,-1.1649475,-0.82839966,15.381073,-0.06866455,-0.06607056,0.19746399,18.4021,-15.98053,-48.632813,-1.30433958,-0.690820314,15.741617,-0.178292848,-0.10157776,0.110617066,18.3474734,-16.199646,-48.5260014
8.05839E+12,-1.0802002,-0.77352905,14.751999,-0.007888794,-0.007766724,0.2375946,18.19458,-16.25824,-48.498535,-1.2375366,-0.738198854,15.5538972,-0.123519899,-0.082760621,0.152951049,18.360596,-16.036072,-48.6059574
8.0584E+12,-1.01297,-0.6801605,13.951828,0.049118042,0.0569458,0.2749176,18.19458,-16.25824,-48.498535,-1.15871886,-0.747961422,15.1774476,-0.06755066,-0.047970582,0.194769286,18.319092,-16.091614,-48.5791018
8.0584E+12,-0.95072937,-0.5804596,13.096756,0.10029602,0.12857056,0.31201172,18.19458,-16.25824,-48.498535,-1.086056514,-0.724929802,14.6006318,-0.010992432,0.00145874,0.235247802,18.277588,-16.147156,-48.5522462
8.05841E+12,-0.89198303,-0.4909668,12.231522,0.13366699,0.1900177,0.33996582,18.19458,-16.25824,-48.498535,-1.02016602,-0.670703122,13.8826356,0.041305542,0.060339355,0.272390746,18.236084,-16.202698,-48.5253906
8.05841E+12,-0.8344879,-0.45394897,11.35437,0.15823364,0.23822021,0.36044312,18.128967,-16.389465,-48.43445,-0.9540741,-0.595812984,13.077295,0.08668518,0.121197509,0.304986572,18.1814574,-16.284485,-48.485718
8.05842E+12,-0.74687195,-0.4316864,10.54393,0.17616272,0.26885986,0.37464905,18.128967,-16.389465,-48.43445,-0.88740845,-0.527444454,12.2356812,0.123495482,0.176522826,0.332397462,18.1683348,-16.31073,-48.472901
8.05842E+12,-0.7087555,-0.4197235,9.859192,0.18444824,0.28074646,0.3840027,18.128967,-16.389465,-48.43445,-0.82656555,-0.475357054,11.417154,0.150561522,0.221282958,0.354214482,18.1552122,-16.336975,-48.460084
8.05843E+12,-0.72750854,-0.38389587,9.225128,0.18244934,0.27981567,0.38893127,18.128967,-16.389465,-48.43445,-0.781921384,-0.436044308,10.6428284,0.166992186,0.25153198,0.369598392,18.1420896,-16.36322,-48.447267
